timestamp,parameter,value,hour,minute,second,day,month,weekday,is_weekend,minute_of_day,elapsed_sec
2025-01-01 00:00:00,BATT_VOLTAGE_1,28.5591,0,0,0,1,1,2,0,0,0.0
2025-01-01 00:00:10,BATT_VOLTAGE_2,28.3917,0,0,10,1,1,2,0,0,10.0
2025-01-01 00:00:20,BATT_CURRENT_1,2.6705,0,0,20,1,1,2,0,0,20.0
2025-01-01 00:00:30,BATT_CURRENT_2,3.2158,0,0,30,1,1,2,0,0,30.0
2025-01-01 00:00:40,BATT_TEMP_1,24.871,0,0,40,1,1,2,0,0,40.0
2025-01-01 00:00:50,BATT_TEMP_2,27.3172,0,0,50,1,1,2,0,0,50.0
2025-01-01 00:01:00,BATT_SOC,84.0094,0,1,0,1,1,2,0,1,60.0
2025-01-01 00:01:10,SOLAR_PANEL_VOLT_A,32.4209,0,1,10,1,1,2,0,1,70.0
2025-01-01 00:01:20,SOLAR_PANEL_VOLT_B,32.303,0,1,20,1,1,2,0,1,80.0
2025-01-01 00:01:30,SOLAR_PANEL_CURR_A,6.4958,0,1,30,1,1,2,0,1,90.0
2025-01-01 00:01:40,SOLAR_PANEL_CURR_B,6.6133,0,1,40,1,1,2,0,1,100.0
2025-01-01 00:01:50,SOLAR_POWER_TOTAL,118.6788,0,1,50,1,1,2,0,1,110.0
2025-01-01 00:02:00,BUS_VOLTAGE,28.9878,0,2,0,1,1,2,0,2,120.0
2025-01-01 00:02:10,BUS_CURRENT,9.2612,0,2,10,1,1,2,0,2,130.0
2025-01-01 00:02:20,THRUSTER_TEMP_1,22.9332,0,2,20,1,1,2,0,2,140.0
2025-01-01 00:02:30,THRUSTER_TEMP_2,24.2348,0,2,30,1,1,2,0,2,150.0
2025-01-01 00:02:40,PAYLOAD_TEMP_CAM,24.6703,0,2,40,1,1,2,0,2,160.0
2025-01-01 00:02:50,PAYLOAD_TEMP_SENSOR,25.4353,0,2,50,1,1,2,0,2,170.0
2025-01-01 00:03:00,OBC_TEMP,43.0147,0,3,0,1,1,2,0,3,180.0
2025-01-01 00:03:10,TRANS_TEMP,43.3054,0,3,10,1,1,2,0,3,190.0
2025-01-01 00:03:20,STRUCT_TEMP_PANEL_X,39.2234,0,3,20,1,1,2,0,3,200.0
2025-01-01 00:03:30,STRUCT_TEMP_PANEL_Y,31.2591,0,3,30,1,1,2,0,3,210.0
2025-01-01 00:03:40,STRUCT_TEMP_PANEL_Z,21.7493,0,3,40,1,1,2,0,3,220.0
2025-01-01 00:03:50,RADIATOR_TEMP,-6.2998,0,3,50,1,1,2,0,3,230.0
2025-01-01 00:04:00,GYRO_X,0.0051,0,4,0,1,1,2,0,4,240.0
2025-01-01 00:04:10,GYRO_Y,0.0204,0,4,10,1,1,2,0,4,250.0
2025-01-01 00:04:20,GYRO_Z,0.0113,0,4,20,1,1,2,0,4,260.0
2025-01-01 00:04:30,MAGNETOMETER_X,25.4314,0,4,30,1,1,2,0,4,270.0
2025-01-01 00:04:40,MAGNETOMETER_Y,16.1212,0,4,40,1,1,2,0,4,280.0
2025-01-01 00:04:50,MAGNETOMETER_Z,26.4624,0,4,50,1,1,2,0,4,290.0
2025-01-01 00:05:00,REACTION_WHEEL_SPD_X,916.2922,0,5,0,1,1,2,0,5,300.0
2025-01-01 00:05:10,REACTION_WHEEL_SPD_Y,411.606,0,5,10,1,1,2,0,5,310.0
2025-01-01 00:05:20,REACTION_WHEEL_SPD_Z,235.9119,0,5,20,1,1,2,0,5,320.0
2025-01-01 00:05:30,ATTITUDE_ROLL,0.5919,0,5,30,1,1,2,0,5,330.0
2025-01-01 00:05:40,ATTITUDE_PITCH,1.544,0,5,40,1,1,2,0,5,340.0
2025-01-01 00:05:50,ATTITUDE_YAW,1.8873,0,5,50,1,1,2,0,5,350.0
2025-01-01 00:06:00,STAR_TRACKER_VALID,0.5399,0,6,0,1,1,2,0,6,360.0
2025-01-01 00:06:10,SUN_SENSOR_ANGLE,124.0691,0,6,10,1,1,2,0,6,370.0
2025-01-01 00:06:20,RF_SIGNAL_STRENGTH,-55.9562,0,6,20,1,1,2,0,6,380.0
2025-01-01 00:06:30,RF_NOISE_FLOOR,-87.0943,0,6,30,1,1,2,0,6,390.0
2025-01-01 00:06:40,TX_POWER,3.9316,0,6,40,1,1,2,0,6,400.0
2025-01-01 00:06:50,LINK_MARGIN,16.7347,0,6,50,1,1,2,0,6,410.0
2025-01-01 00:07:00,DATA_RATE_KBPS,121.1675,0,7,0,1,1,2,0,7,420.0
2025-01-01 00:07:10,PACKET_LOSS_RATE,1.5827,0,7,10,1,1,2,0,7,430.0
2025-01-01 00:07:20,CPU_USAGE,37.1778,0,7,20,1,1,2,0,7,440.0
2025-01-01 00:07:30,MEMORY_USAGE,57.392,0,7,30,1,1,2,0,7,450.0
2025-01-01 00:07:40,FLASH_WRITE_RATE,3.3075,0,7,40,1,1,2,0,7,460.0
2025-01-01 00:07:50,WATCHDOG_COUNTER,61.0605,0,7,50,1,1,2,0,7,470.0
2025-01-01 00:08:00,TANK_PRESSURE,302.6978,0,8,0,1,1,2,0,8,480.0
2025-01-01 00:08:10,THRUSTER_VALVE_TEMP,19.5616,0,8,10,1,1,2,0,8,490.0
2025-01-01 00:08:20,BATT_VOLTAGE_1,28.579,0,8,20,1,1,2,0,8,500.0
2025-01-01 00:08:30,BATT_VOLTAGE_2,28.2387,0,8,30,1,1,2,0,8,510.0
