timestamp,parameter,value
2025-01-01 00:00:00,BATT_VOLTAGE_1,28.5591
2025-01-01 00:00:10,BATT_VOLTAGE_2,28.3917
2025-01-01 00:00:20,BATT_CURRENT_1,2.6705
2025-01-01 00:00:30,BATT_CURRENT_2,3.2158
2025-01-01 00:00:40,BATT_TEMP_1,24.871
2025-01-01 00:00:50,BATT_TEMP_2,27.3172
2025-01-01 00:01:00,BATT_SOC,84.0094
2025-01-01 00:01:10,SOLAR_PANEL_VOLT_A,32.4209
2025-01-01 00:01:20,SOLAR_PANEL_VOLT_B,32.303
2025-01-01 00:01:30,SOLAR_PANEL_CURR_A,6.4958
2025-01-01 00:01:40,SOLAR_PANEL_CURR_B,6.6133
2025-01-01 00:01:50,SOLAR_POWER_TOTAL,118.6788
2025-01-01 00:02:00,BUS_VOLTAGE,28.9878
2025-01-01 00:02:10,BUS_CURRENT,9.2612
2025-01-01 00:02:20,THRUSTER_TEMP_1,22.9332
2025-01-01 00:02:30,THRUSTER_TEMP_2,24.2348
2025-01-01 00:02:40,PAYLOAD_TEMP_CAM,24.6703
2025-01-01 00:02:50,PAYLOAD_TEMP_SENSOR,25.4353
2025-01-01 00:03:00,OBC_TEMP,43.0147
2025-01-01 00:03:10,TRANS_TEMP,43.3054
2025-01-01 00:03:20,STRUCT_TEMP_PANEL_X,39.2234
2025-01-01 00:03:30,STRUCT_TEMP_PANEL_Y,31.2591
2025-01-01 00:03:40,STRUCT_TEMP_PANEL_Z,21.7493
2025-01-01 00:03:50,RADIATOR_TEMP,-6.2998
2025-01-01 00:04:00,GYRO_X,0.0051
2025-01-01 00:04:10,GYRO_Y,0.0204
2025-01-01 00:04:20,GYRO_Z,0.0113
2025-01-01 00:04:30,MAGNETOMETER_X,25.4314
2025-01-01 00:04:40,MAGNETOMETER_Y,16.1212
2025-01-01 00:04:50,MAGNETOMETER_Z,26.4624
2025-01-01 00:05:00,REACTION_WHEEL_SPD_X,916.2922
2025-01-01 00:05:10,REACTION_WHEEL_SPD_Y,411.606
2025-01-01 00:05:20,REACTION_WHEEL_SPD_Z,235.9119
2025-01-01 00:05:30,ATTITUDE_ROLL,0.5919
2025-01-01 00:05:40,ATTITUDE_PITCH,1.544
2025-01-01 00:05:50,ATTITUDE_YAW,1.8873
2025-01-01 00:06:00,STAR_TRACKER_VALID,0.5399
2025-01-01 00:06:10,SUN_SENSOR_ANGLE,124.0691
2025-01-01 00:06:20,RF_SIGNAL_STRENGTH,-55.9562
2025-01-01 00:06:30,RF_NOISE_FLOOR,-87.0943
2025-01-01 00:06:40,TX_POWER,3.9316
2025-01-01 00:06:50,LINK_MARGIN,16.7347
2025-01-01 00:07:00,DATA_RATE_KBPS,121.1675
2025-01-01 00:07:10,PACKET_LOSS_RATE,1.5827
2025-01-01 00:07:20,CPU_USAGE,37.1778
2025-01-01 00:07:30,MEMORY_USAGE,57.392
2025-01-01 00:07:40,FLASH_WRITE_RATE,3.3075
2025-01-01 00:07:50,WATCHDOG_COUNTER,61.0605
2025-01-01 00:08:00,TANK_PRESSURE,302.6978
2025-01-01 00:08:10,THRUSTER_VALVE_TEMP,19.5616
2025-01-01 00:08:20,BATT_VOLTAGE_1,28.579
2025-01-01 00:08:30,BATT_VOLTAGE_2,28.2387
2025-01-01 00:08:40,BATT_CURRENT_1,3.1128
2025-01-01 00:08:50,BATT_CURRENT_2,3.1915
2025-01-01 00:09:00,BATT_TEMP_1,25.4371
2025-01-01 00:09:10,BATT_TEMP_2,28.6194
2025-01-01 00:09:20,BATT_SOC,84.7269
2025-01-01 00:09:30,SOLAR_PANEL_VOLT_A,32.2622
2025-01-01 00:09:40,SOLAR_PANEL_VOLT_B,32.2668
2025-01-01 00:09:50,SOLAR_PANEL_CURR_A,5.8452
2025-01-01 00:10:00,SOLAR_PANEL_CURR_B,5.5965
2025-01-01 00:10:10,SOLAR_POWER_TOTAL,112.059
2025-01-01 00:10:20,BUS_VOLTAGE,28.9101
2025-01-01 00:10:30,BUS_CURRENT,10.1269
2025-01-01 00:10:40,THRUSTER_TEMP_1,23.5388
2025-01-01 00:10:50,THRUSTER_TEMP_2,25.0175
2025-01-01 00:11:00,PAYLOAD_TEMP_CAM,24.3272
2025-01-01 00:11:10,PAYLOAD_TEMP_SENSOR,24.7949
2025-01-01 00:11:20,OBC_TEMP,46.9405
2025-01-01 00:11:30,TRANS_TEMP,42.802
2025-01-01 00:11:40,STRUCT_TEMP_PANEL_X,37.3499
2025-01-01 00:11:50,STRUCT_TEMP_PANEL_Y,38.1571
2025-01-01 00:12:00,STRUCT_TEMP_PANEL_Z,23.6607
2025-01-01 00:12:10,RADIATOR_TEMP,-2.6167
2025-01-01 00:12:20,GYRO_X,0.0179
2025-01-01 00:12:30,GYRO_Y,0.0096
2025-01-01 00:12:40,GYRO_Z,0.044
2025-01-01 00:12:50,MAGNETOMETER_X,10.9745
2025-01-01 00:13:00,MAGNETOMETER_Y,26.8819
2025-01-01 00:13:10,MAGNETOMETER_Z,13.1253
2025-01-01 00:13:20,REACTION_WHEEL_SPD_X,1265.678
2025-01-01 00:13:30,REACTION_WHEEL_SPD_Y,1409.5053
2025-01-01 00:13:40,REACTION_WHEEL_SPD_Z,1076.1536
2025-01-01 00:13:50,ATTITUDE_ROLL,1.6978
2025-01-01 00:14:00,ATTITUDE_PITCH,0.1621
2025-01-01 00:14:10,ATTITUDE_YAW,2.7587
2025-01-01 00:14:20,STAR_TRACKER_VALID,0.7052
2025-01-01 00:14:30,SUN_SENSOR_ANGLE,112.8756
2025-01-01 00:14:40,RF_SIGNAL_STRENGTH,-59.3001
2025-01-01 00:14:50,RF_NOISE_FLOOR,-93.3478
2025-01-01 00:15:00,TX_POWER,3.3946
2025-01-01 00:15:10,LINK_MARGIN,17.9764
2025-01-01 00:15:20,DATA_RATE_KBPS,161.6631
2025-01-01 00:15:30,PACKET_LOSS_RATE,1.2836
2025-01-01 00:15:40,CPU_USAGE,47.5723
2025-01-01 00:15:50,MEMORY_USAGE,59.3086
2025-01-01 00:16:00,FLASH_WRITE_RATE,3.3885
2025-01-01 00:16:10,WATCHDOG_COUNTER,74.0278
2025-01-01 00:16:20,TANK_PRESSURE,309.2063
2025-01-01 00:16:30,THRUSTER_VALVE_TEMP,20.6925
2025-01-01 00:16:40,BATT_VOLTAGE_1,28.7403
2025-01-01 00:16:50,BATT_VOLTAGE_2,28.7607
2025-01-01 00:17:00,BATT_CURRENT_1,2.8546
2025-01-01 00:17:10,BATT_CURRENT_2,2.7227
2025-01-01 00:17:20,BATT_TEMP_1,29.2339
2025-01-01 00:17:30,BATT_TEMP_2,25.7861
2025-01-01 00:17:40,BATT_SOC,79.7528
2025-01-01 00:17:50,SOLAR_PANEL_VOLT_A,32.6222
2025-01-01 00:18:00,SOLAR_PANEL_VOLT_B,31.3616
2025-01-01 00:18:10,SOLAR_PANEL_CURR_A,6.6095
2025-01-01 00:18:20,SOLAR_PANEL_CURR_B,5.7899
2025-01-01 00:18:30,SOLAR_POWER_TOTAL,113.1047
2025-01-01 00:18:40,BUS_VOLTAGE,29.0387
2025-01-01 00:18:50,BUS_CURRENT,9.6988
2025-01-01 00:19:00,THRUSTER_TEMP_1,24.8154
2025-01-01 00:19:10,THRUSTER_TEMP_2,26.4737
2025-01-01 00:19:20,PAYLOAD_TEMP_CAM,24.377
2025-01-01 00:19:30,PAYLOAD_TEMP_SENSOR,23.5972
2025-01-01 00:19:40,OBC_TEMP,50.1497
2025-01-01 00:19:50,TRANS_TEMP,42.8489
2025-01-01 00:20:00,STRUCT_TEMP_PANEL_X,31.934
2025-01-01 00:20:10,STRUCT_TEMP_PANEL_Y,34.039
2025-01-01 00:20:20,STRUCT_TEMP_PANEL_Z,34.6617
2025-01-01 00:20:30,RADIATOR_TEMP,-9.4789
2025-01-01 00:20:40,GYRO_X,0.0285
2025-01-01 00:20:50,GYRO_Y,0.0397
2025-01-01 00:21:00,GYRO_Z,0.0012
2025-01-01 00:21:10,MAGNETOMETER_X,28.0575
2025-01-01 00:21:20,MAGNETOMETER_Y,20.6058
2025-01-01 00:21:30,MAGNETOMETER_Z,4.1636
2025-01-01 00:21:40,REACTION_WHEEL_SPD_X,935.8122
2025-01-01 00:21:50,REACTION_WHEEL_SPD_Y,1748.5534
2025-01-01 00:22:00,REACTION_WHEEL_SPD_Z,1055.9606
2025-01-01 00:22:10,ATTITUDE_ROLL,1.4417
2025-01-01 00:22:20,ATTITUDE_PITCH,0.6891
2025-01-01 00:22:30,ATTITUDE_YAW,0.1455
2025-01-01 00:22:40,STAR_TRACKER_VALID,0.5102
2025-01-01 00:22:50,SUN_SENSOR_ANGLE,128.4911
2025-01-01 00:23:00,RF_SIGNAL_STRENGTH,-59.0267
2025-01-01 00:23:10,RF_NOISE_FLOOR,-91.5062
2025-01-01 00:23:20,TX_POWER,3.8906
2025-01-01 00:23:30,LINK_MARGIN,20.8457
2025-01-01 00:23:40,DATA_RATE_KBPS,157.6163
2025-01-01 00:23:50,PACKET_LOSS_RATE,1.2085
2025-01-01 00:24:00,CPU_USAGE,36.2162
2025-01-01 00:24:10,MEMORY_USAGE,60.2346
2025-01-01 00:24:20,FLASH_WRITE_RATE,3.4883
2025-01-01 00:24:30,WATCHDOG_COUNTER,74.4131
2025-01-01 00:24:40,TANK_PRESSURE,312.2149
2025-01-01 00:24:50,THRUSTER_VALVE_TEMP,19.1706
2025-01-01 00:25:00,BATT_VOLTAGE_1,28.7236
2025-01-01 00:25:10,BATT_VOLTAGE_2,28.5431
2025-01-01 00:25:20,BATT_CURRENT_1,3.0972
2025-01-01 00:25:30,BATT_CURRENT_2,3.2077
2025-01-01 00:25:40,BATT_TEMP_1,23.9365
2025-01-01 00:25:50,BATT_TEMP_2,30.2935
2025-01-01 00:26:00,BATT_SOC,91.0935
2025-01-01 00:26:10,SOLAR_PANEL_VOLT_A,32.4669
2025-01-01 00:26:20,SOLAR_PANEL_VOLT_B,30.9172
2025-01-01 00:26:30,SOLAR_PANEL_CURR_A,6.6567
2025-01-01 00:26:40,SOLAR_PANEL_CURR_B,5.8471
2025-01-01 00:26:50,SOLAR_POWER_TOTAL,113.693
2025-01-01 00:27:00,BUS_VOLTAGE,28.9661
2025-01-01 00:27:10,BUS_CURRENT,9.5247
2025-01-01 00:27:20,THRUSTER_TEMP_1,25.9642
2025-01-01 00:27:30,THRUSTER_TEMP_2,23.8822
2025-01-01 00:27:40,PAYLOAD_TEMP_CAM,22.0989
2025-01-01 00:27:50,PAYLOAD_TEMP_SENSOR,23.9182
2025-01-01 00:28:00,OBC_TEMP,49.8226
2025-01-01 00:28:10,TRANS_TEMP,40.9168
2025-01-01 00:28:20,STRUCT_TEMP_PANEL_X,26.2929
2025-01-01 00:28:30,STRUCT_TEMP_PANEL_Y,28.5929
2025-01-01 00:28:40,STRUCT_TEMP_PANEL_Z,32.8848
2025-01-01 00:28:50,RADIATOR_TEMP,-7.211
2025-01-01 00:29:00,GYRO_X,0.0057
2025-01-01 00:29:10,GYRO_Y,-0.002
2025-01-01 00:29:20,GYRO_Z,0.014
2025-01-01 00:29:30,MAGNETOMETER_X,35.0745
